title,run_id,issue_number,run_status,collection_status,format,story,metadata_arc,story_title,part_label,metadata_role,metadata_notes,metadata_source_url,metadata_status,metadata_source,reading_order,source_tab,source_row,comic,notes,missing_reason
Warhammer Monthly,warhammer_monthly_0_86,53,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,54,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,55,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,56,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,57,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,58,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,59,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,60,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,61,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,62,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,63,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,64,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,65,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,66,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,67,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,68,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,69,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,70,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,71,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,72,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,73,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,74,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,75,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,76,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,77,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,78,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,79,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,80,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,81,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,82,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,83,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,84,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,85,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,86,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
